_c0,_c1,cnt,1
微信,APP_NAME,720607,1
今天,DAY,495125,1
今日,DAY,402440,1
中国,ADMIN,267126,1
明天,DAY,250339,1
vivo,PROD_BRAND,241837,1
微信支付,APP_SERVICE,183410,1
本月,DATE,179361,1
昨天,DAY,178196,1
腾讯新闻,APP_NAME,160060,1
中国移动,ADDR,124356,1
43102,DATE,122063,1
淘宝,APP_NAME,117967,1
......,EXPR_NAME,117708,1
衣服,PROD_TAG,110882,1
美国,ADMIN,109245,1
微博,APP_NAME,107526,1
支付宝,APP_NAME,105498,1
晚上,CLOCK,104672,1
狗,ANIMAL,100106,1
43133,DATE,94009,1
43103,DATE,91600,1
2018年,DATE,84300,1
习近平,PERSON_NAME,82487,1
QQ,APP_NAME,81197,1
日本,ADMIN,78836,1
下午,CLOCK,78295,1
43109,DATE,78199,1
今年,DATE,76421,1
一点,CLOCK,75448,1
龙,ANIMAL,74699,1
oppo,PROD_BRAND,73946,1
晚,CLOCK,70375,1
地图,APP_NAME,69211,0
43104,DATE,64154,1
华为,PROD_BRAND,58798,1
T恤,PROD_TAG,58215,1
上海,ADMIN,57710,1
,,,1
,,,1
,PROD_NAME,56632,1
43101,DATE,55726,1
韩国,ADMIN,55378,1
y71,TRAIN_NUM,53085,0
5月,DATE,52878,1
43162,DATE,52768,1
43134,DATE,51858,1
虎,ANIMAL,51559,1
面膜,PROD_TAG,51348,1
24小时,TIME_OTHER,51253,1
今晚,CLOCK,51031,1
y85,TRAIN_NUM,49444,0
vivo手机,PROD_NAME,49378,1
微商,APP_NAME,48025,1
京东,APP_NAME,48006,1
两天,TIME_OTHER,47805,1
王者荣耀,APP_NAME,47561,1
天猫,APP_NAME,46994,1
手机淘宝,APP_NAME,46954,1
43140,DATE,46453,1
43229,DATE,44267,1
早上,CLOCK,43955,1
猫,ANIMAL,43925,1
43106,DATE,43493,1
香港,ADMIN,43245,1
43168,DATE,42413,1
上衣,PROD_TAG,41815,1
快手,APP_NAME,40212,1
x21,PROD_NAME,40050,1
短袖,PROD_TAG,39022,1
裤子,PROD_TAG,37944,1
五月,DATE,37804,1
43199,DATE,37440,1
t恤,PROD_TAG,37024,1
43352,DATE,36777,1
我们,BOOK,36049,0
43135,DATE,35426,1
上午,CLOCK,35356,1
明日,DAY,35228,1
43194,DATE,34667,1
朋友圈,APP_SERVICE,34621,1
2017年,DATE,34560,1
鞋子,PROD_TAG,34481,1
猴,ANIMAL,34391,1
OPPO,PROD_BRAND,34079,1
中午,CLOCK,33394,1
秒拍,APP_NAME,33000,1
43290,DATE,32882,1
去年,DATE,32795,1
拼多多,APP_NAME,32596,1
43260,DATE,32371,1
43163,DATE,32368,1
孙振,PERSON_NAME,32001,1
43321,DATE,31593,1
1小时,TIME_OTHER,31443,1
裙子,PROD_TAG,31228,1
万达影城,ADDR,30847,1
深圳,ADMIN,30732,1
建设银行,STOCK_NAME,30569,1
河南,ADMIN,30146,1
vivo X21,PROD_NAME,30075,1
熊,ANIMAL,29825,1
x20,PROD_NAME,28670,1
4月,DATE,28148,1
问道,APP_NAME,28057,1
台湾,ADMIN,27975,1
郑州,ADMIN,27672,1
2小时,TIME_OTHER,27622,1
腾讯,ADDR,27234,1
百度,APP_NAME,27060,1
泰国,ADMIN,26392,1
小龙虾,ANIMAL,26291,1
爱奇艺,APP_NAME,26126,1
美团,APP_NAME,25614,1
43137,DATE,25467,1
CA1304航班,FLIGHT_NUM,25088,1
口红,PROD_TAG,24796,1
俄罗斯,ADMIN,24520,1
滴滴,APP_NAME,24146,1
南京,ADMIN,23988,1
新疆,ADMIN,23916,1
顾轻舟,PERSON_NAME,23884,1
昨晚,CLOCK,23828,1
周一,DAY,23767,1
成都,ADMIN,23489,1
43240,DATE,23477,1
5.2,DATE,23448,1
英国,ADMIN,23442,1
小米,PROD_BRAND,23400,1
中国农业银行,ADDR,23363,1
43165,DATE,23353,1
《战狼2》,FILM,23220,1
43257,DATE,22711,1
43238,DATE,22251,1
中国联通,ADDR,22190,1
工商银行,STOCK_NAME,22085,1
杭州,ADMIN,21840,1
地球,APP_NAME,21579,0
1.5,DATE,21390,1
43226,DATE,21304,1
马云,PERSON_NAME,21227,1
43105,DATE,21076,1
周五,DAY,20890,1
43196,DATE,20849,1
腾讯科技,ADDR,20651,1
特朗普,PERSON_NAME,20572,1
周六,DAY,20338,1
金亮,PERSON_NAME,20280,1
43232,DATE,20177,1
交通银行,ADDR,19868,1
43239,DATE,19608,1
43235,DATE,19496,1
内裤,PROD_TAG,19489,1
西安,ADMIN,19436,1
10年,DATE,19371,1
黑金,FILM,19297,1
中国电信,ADDR,19230,1
43245,DATE,19141,1
四川,ADMIN,18972,1
范冰冰,PERSON_NAME,18966,1
鹿晗,PERSON_NAME,18816,1
43246,DATE,18797,1
43233,DATE,18759,1
43231,DATE,18690,1
昨日,DAY,18637,1
43236,DATE,18595,1
43237,DATE,18411,1
虾,ANIMAL,18271,1
德国,ADMIN,18206,1
耳机,PROD_TAG,18187,1
顺丰,EXPRESS_VENDOR,18099,1
43230,DATE,18063,1
3小时,TIME_OTHER,17948,1
柠檬,PLANT,17884,1
芒果,PLANT,17831,1
43221,DATE,17818,1
唯品会,APP_NAME,17649,1
山东,ADMIN,17540,1
相机,PROD_TAG,17504,1
2016年,DATE,17460,1
43242,DATE,17429,1
连衣裙,PROD_TAG,17379,1
广东,ADMIN,17304,1
亚洲,ADMIN,17292,1
周日,DAY,17153,1
中国平安,STOCK_NAME,17079,1
汶川,ADMIN,17057,1
小白鞋,PROD_TAG,16931,1
欧洲,ADMIN,16829,1
腾讯视频,APP_NAME,16790,1
iPhone X,PROD_NAME,16709,1
43228,DATE,16611,1
一时,CLOCK,16580,0
iPhone,PROD_BRAND,16575,1
1号,DAY,16531,0
Y71,TRAIN_NUM,16496,0
1.2,DATE,16340,1
海南,ADMIN,16203,1
短裤,PROD_TAG,16189,1
2号,DAY,16185,0
9.9,DATE,16159,1
云南,ADMIN,16123,1
43224,DATE,16033,1
招商银行,ADDR,16003,1
天津,ADMIN,15991,1
搜狗百科,APP_NAME,15989,1
翼支付,APP_NAME,15969,1
18:00:00,CLOCK,15910,1
半袖,PROD_TAG,15881,1
充电宝,PROD_TAG,15879,1
X21,PROD_NAME,15778,1
键盘,PROD_TAG,15743,1
上海东方明珠,ADDR,15727,1
法国,ADMIN,15598,1
43225,DATE,15563,1
43241,DATE,15528,1
蚂蚁,ANIMAL,15452,1
浦发银行,STOCK_NAME,15416,1
武汉,ADMIN,15409,1
43244,DATE,15375,1
43234,DATE,15321,1
湖南,ADMIN,15225,1
打底衫,PROD_TAG,15128,1
43227,DATE,15020,1
43247,DATE,15019,1
浙江,ADMIN,15000,1
长沙,ADMIN,14774,1
后天,DAY,14769,1
袜子,PROD_TAG,14715,1
43243,DATE,14657,1
杨幂,PERSON_NAME,14636,1
12:00:00,CLOCK,14568,1
邮储银行,ADDR,14544,1
周三,DAY,14497,1
X21,PROD_BRAND,14478,1
印度,ADMIN,14477,1
Y85,TRAIN_NUM,14464,0
舍不得,MUSIC,14377,1
43226,DATE,14337,1
叶皓轩,PERSON_NAME,14254,1
43248,DATE,14244,1
象,ANIMAL,14237,1
43229,DATE,14236,1
毛利,PERSON_NAME,14206,1
?,PROD_NAME,14173,0
周二,DAY,14148,1
泡沫,MUSIC,14009,1
榴莲,PLANT,13943,1
2018.05,DATE,13868,1
兔子,ANIMAL,13795,1
2018-05-17 00:00:00,DATE,13681,1
洗面奶,PROD_TAG,13651,1
?,PROD_NAME,13590,0
1.1,DATE,13522,1
冰箱,PROD_TAG,13488,1
中国银行,ADDR,13462,1
马克思,PERSON_NAME,13388,1
43223,DATE,13373,1
广西,ADMIN,13335,1
伊朗,ADMIN,13257,1
2018-05-16 00:00:00,DATE,13191,1
48小时,TIME_OTHER,13174,1
荣耀,PROD_BRAND,13154,1
2015年,DATE,13088,1
6月,DATE,13045,1
43222,DATE,12941,1
2018-05-11 00:00:00,DATE,12902,1
江苏,ADMIN,12722,1
2018-05-10 00:00:00,DATE,12632,1
周四,DAY,12590,1
高跟鞋,PROD_TAG,12582,1
2018-05-18 00:00:00,DATE,12567,1
老师,BOOK,12540,0
谢娜,PERSON_NAME,12500,1
4小时,TIME_OTHER,12467,1
手表,PROD_TAG,12443,1
智能手机,PROD_TAG,12429,1
优酷,APP_NAME,12425,1
Y71,PROD_NAME,12408,1
财付通,APP_NAME,12388,1
2018-05-20 00:00:00,DATE,12388,1
2018-05-09 00:00:00,DATE,12385,1
43249,DATE,12346,1
外套,PROD_TAG,12342,1
丝袜,PROD_TAG,12313,1
詹姆斯,PERSON_NAME,12283,1
43108,DATE,12250,1
00:00:00,CLOCK,12223,1
10:00:00,CLOCK,12181,1
阔腿裤,PROD_TAG,12135,1
